transaction_date,ticker,asset_description,type,amount,representative,timestamp,merge_key,people,state,party_x,total_senate_years,total_house_years,total_years,donation_merge_key,name,total_raised,total_from_small_donors,percent_from_small_donors*,total_money_raised,party_y
2017-08-09,SLB,Schlumberger Limited,purchase,"$15,001 - $50,000","David A Perdue , Jr",1502251200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-09,EMR,Emerson Electric Co.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502251200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-09,GE,General Electric Company,sale_partial,"$15,001 - $50,000","David A Perdue , Jr",1502251200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-09,DIS,The Walt Disney Company,purchase,"$15,001 - $50,000","David A Perdue , Jr",1502251200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-09,URBN,"Urban Outfitters, Inc.",purchase,"$1,001 - $15,000","David A Perdue , Jr",1502251200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-09,WLK,Westlake Chemical Corporation,sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1502251200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-08,AXTA,Axalta Coating Systems Ltd.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502164800,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-08,CZR,Caesars Entertainment Corporation,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502164800,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-08,WLK,Westlake Chemical Corporation,sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1502164800,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-08,HBI,Hanesbrands Inc.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502164800,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-07,WMT,"Wal-Mart Stores, Inc.",sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1502078400,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-07,HBI,Hanesbrands Inc.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502078400,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-07,AXTA,Axalta Coating Systems Ltd.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502078400,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-07,FDC,First Data Corporation,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502078400,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-04,DISCA,"Discovery Communications, Inc.",purchase,"$1,001 - $15,000","David A Perdue , Jr",1501819200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-04,WMT,"Wal-Mart Stores, Inc.",sale_partial,"$15,001 - $50,000","David A Perdue , Jr",1501819200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-04,HBI,Hanesbrands Inc.,purchase,"$15,001 - $50,000","David A Perdue , Jr",1501819200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-04,WLK,Westlake Chemical Corporation,sale_partial,"$15,001 - $50,000","David A Perdue , Jr",1501819200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-04,WMT,"Wal-Mart Stores, Inc.",sale_partial,"$15,001 - $50,000","David A Perdue , Jr",1501819200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-04,AXTA,Axalta Coating Systems Ltd.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1501819200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-04,LYV,"Live Nation Entertainment, Inc.",sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1501819200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-03,WMT,"Wal-Mart Stores, Inc.",sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1501732800,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
