people,state,party,total_senate_years,total_house_years,total_years
Chrissy Houlahan,Pennsylvania,Democratic,0,2,2
"James Howard, J.",New Jersey,Democratic,0,24,24
Allan Howe,Utah,Democratic,0,2,2
"Steny Hoyer, H.",Maryland,Democratic,0,40,40
"Roman Hruska, L.",Nebraska,Republican,24,0,24
"Carroll, Hubbard, Jr.",Kentucky,Democratic,0,18,18
"Robert Huber, J.",Michigan,Republican,0,2,2
Thomas Huckaby,Louisiana,Democratic,0,16,16
"Walter Huddleston, (Dee)",Kentucky,Democratic,12,0,12
William Hudnut,Indiana,Republican,0,2,2
Richard Hudson,North Carolina,Republican,0,8,8
Tim Huelskamp,Kansas,Republican,0,6,6
Michael Huffington,California,Republican,0,2,2
Jared Huffman,California,Democratic,0,8,8
"Harold Hughes, E.",Iowa,Democratic,6,0,6
"William Hughes, J.",New Jersey,Democratic,0,20,20
Bill Huizenga,Michigan,Republican,0,10,10
"Kenny Hulshof, C.",Missouri,Republican,0,12,12
Randy Hultgren,Illinois,Republican,0,8,8
"Gordon Humphrey, J.",New Hampshire,Republican,12,0,12
"Hubert Humphrey, H.",Minnesota,Democratic,24,0,24
Muriel Humphrey,Minnesota,Democratic,2,0,2
"William Hungate, L.",Missouri,Democratic,0,14,14
"John Hunt, E.",New Jersey,Republican,0,8,8
Duncan Hunter,California,Republican,0,28,28
"Duncan Hunter, D.",California,Republican,0,11,11
Will Hurd,Texas,Republican,0,6,6
Robert Hurt,Virginia,Republican,0,6,6
Asa Hutchinson,Arkansas,Republican,0,4,4
Edward Hutchinson,Michigan,Republican,0,14,14
"John Hutchinson, G.",West Virginia,Democratic,0,2,2
Tim Hutchinson,Arkansas,Republican,6,4,10
"Kay Hutchison, Bailey",Texas,Republican,20,0,20
Earl Hutto,Florida,Democratic,0,16,16
"Henry Hyde, J.",Illinois,Republican,0,32,32
Cindy Hyde-Smith,Mississippi,Republican,3,0,3
"Richard Ichord, H.",Missouri,Democratic,0,20,20
Bob Inglis,South Carolina,Republican,0,12,12
"James Inhofe, M.",Oklahoma,Republican,27,8,35
"Daniel Inouye, K.",Hawaii,Democratic,49,4,53
Jay Inslee,Washington,Democratic,0,15,15
"Andrew Ireland, P.",Florida,Republican,0,16,16
Johnny Isakson,Georgia,Republican,14,6,20
Steve Israel,New York,Democratic,0,16,16
"Darrell Issa, E.",California,Republican,0,18,18
Ernest Istook,Oklahoma,Republican,0,14,14
"Lee, Jackson, Sheila",Texas,Democratic,0,26,26
"Henry Jackson, M.",Washington,Democratic,32,12,44
Jesse Jackson,Illinois,Democratic,0,17,17
Ronny Jackson,Texas,Republican,0,0,0
"Andrew, Jacobs, Jr.",Indiana,Democratic,0,30,30
Chris Jacobs,New York,Republican,0,1,1
Sara Jacobs,California,Democratic,0,0,0
"Craig James, T.",Florida,Republican,0,4,4
"William Janklow, J.",South Dakota,Republican,0,1,1
John Jarman,Oklahoma,Democratic,0,26,26
"Jacob Javits, K.",New York,Republican,24,8,32
Pramila Jayapal,Washington,Democratic,0,4,4
"William Jefferson, J.",Louisiana,Democratic,0,18,18
"James Jeffords, M.",Vermont,Independent,18,14,32
"Hakeem Jeffries, S.",New York,Democratic,0,8,8
Jim Jeffries,Kansas,Republican,0,4,4
"Edgar Jenkins, L.",Georgia,Democratic,0,16,16
"Evan Jenkins, H.",West Virginia,Republican,0,3,3
Lynn Jenkins,Kansas,Republican,0,10,10
"William Jenkins, L.",Tennessee,Republican,0,10,10
John Jenrette,South Carolina,Democratic,0,6,6
"Roger Jepsen, W.",Iowa,Republican,6,0,6
Bobby Jindal,Louisiana,Republican,0,3,3
Mike Johanns,Nebraska,Republican,6,0,6
Christopher John,Louisiana,Democratic,0,8,8
"Albert Johnson, W.",Pennsylvania,Republican,0,14,14
Bill Johnson,Ohio,Republican,0,10,10
Don Johnson,Georgia,Democratic,0,2,2
Dusty Johnson,South Dakota,Republican,0,2,2
"Eddie Johnson, Bernice",Texas,Democratic,0,28,28
"Harold Johnson, T.",California,Democratic,0,22,22
Henry Johnson,Georgia,Democratic,0,14,14
James Johnson,Colorado,Republican,0,8,8
"Jay Johnson, W.",Wisconsin,Democratic,0,2,2
Mike Johnson,Louisiana,Republican,0,4,4
"Nancy Johnson, L.",Connecticut,Republican,0,24,24
Ron Johnson,Wisconsin,Republican,10,0,10
Sam Johnson,Texas,Republican,0,28,28
Tim Johnson,South Dakota,Democratic,18,10,28
"Timothy Johnson, V.",Illinois,Republican,0,12,12
"Eugene Johnston, (Gene)",North Carolina,Republican,0,2,2
Harry Johnston,Florida,Democratic,0,8,8
"J. Johnston, Bennett",Louisiana,Democratic,26,0,26
"David Jolly, W.",Florida,Republican,0,3,3
Ben Jones,Georgia,Democratic,0,4,4
Brenda Jones,Michigan,Democratic,0,1,1
Doug Jones,Alabama,Democratic,3,0,3
Ed Jones,Tennessee,Democratic,0,20,20
"James Jones, R.",Oklahoma,Democratic,0,14,14
Mondaire Jones,New York,Democratic,0,0,0
Robert Jones,Alabama,Democratic,0,30,30
"Stephanie Jones, Tubbs",Ohio,Democratic,0,9,9
"Walter Jones, B.",North Carolina,Democratic,0,28,28
Walter Jones,North Carolina,Republican,0,24,24
Jim Jontz,Indiana,Democratic,0,6,6
Barbara Jordan,Texas,Democratic,0,6,6
Jim Jordan,Ohio,Republican,0,14,14
"David Joyce, P.",Ohio,Republican,0,8,8
John Joyce,Pennsylvania,Republican,0,2,2
Steve Kagen,Wisconsin,Democratic,0,4,4
Kaiali'i Kahele,Hawaii,Democratic,0,0,0
Tim Kaine,Virginia,Democratic,8,0,8
"Paul Kanjorski, E.",Pennsylvania,Democratic,0,26,26
Marcy Kaptur,Ohio,Democratic,0,38,38
"David Karnes, K.",Nebraska,Republican,2,0,2
"Joseph Karth, E.",Minnesota,Democratic,0,18,18
"John Kasich, R.",Ohio,Republican,0,18,18
"Nancy Kassebaum, Landon",Kansas,Republican,18,0,18
Robert Kasten,Wisconsin,Republican,12,4,16
"Robert Kastenmeier, W.",Wisconsin,Democratic,0,32,32
John Katko,New York,Republican,0,6,6
"Edward Kaufman, E.",Delaware,Democratic,1,0,1
"Abraham, Kazen, Jr.",Texas,Democratic,0,18,18
"William Keating, J.",Ohio,Republican,0,4,4
"William Keating, R.",Massachusetts,Democratic,0,10,10
Fred Keller,Pennsylvania,Republican,0,2,2
Ric Keller,Florida,Republican,0,8,8
Mark Kelly,Arizona,Democratic,1,0,1
Mike Kelly,Pennsylvania,Republican,0,10,10
Richard Kelly,Florida,Republican,0,6,6
"Robin Kelly, L.",Illinois,Democratic,0,8,8
"Sue Kelly, W.",New York,Republican,0,12,12
Trent Kelly,Mississippi,Republican,0,6,6
Jack Kemp,New York,Republican,0,18,18
Dirk Kempthorne,Idaho,Republican,6,0,6
"Edward Kennedy, M.",Massachusetts,Democratic,48,0,48
John Kennedy,Louisiana,Republican,4,0,4
Joseph Kennedy,Massachusetts,Democratic,0,12,12
Joseph Kennedy,Massachusetts,Democratic,0,8,8
"Mark Kennedy, R.",Minnesota,Republican,0,6,6
"Patrick Kennedy, J.",Rhode Island,Democratic,0,16,16
"Barbara Kennelly, B.",Connecticut,Democratic,0,18,18
"Brian Kerns, D.",Indiana,Republican,0,2,2
"J. Kerrey, Robert",Nebraska,Democratic,12,0,12
"John Kerry, F.",Massachusetts,Democratic,28,0,28
"William Ketchum, M.",California,Republican,0,6,6
"Martha Keys, E.",Kansas,Democratic,0,4,4
Ro Khanna,California,Democratic,0,4,4
"Ruben Kihuen, J.",Nevada,Democratic,0,2,2
"Dale Kildee, E.",Michigan,Democratic,0,36,36
"Daniel Kildee, T.",Michigan,Democratic,0,8,8
Derek Kilmer,Washington,Democratic,0,8,8
"Carolyn Kilpatrick, C.",Michigan,Democratic,0,14,14
"Mary Kilroy, Jo",Ohio,Democratic,0,2,2
Andy Kim,New Jersey,Democratic,0,2,2
Jay Kim,California,Republican,0,6,6
Young Kim,California,Republican,0,0,0
Ron Kind,Wisconsin,Democratic,0,24,24
"Thomas Kindness, N.",Ohio,Republican,0,12,12
Angus King,Maine,Independent,8,0,8
"Carleton King, J.",New York,Republican,0,14,14
"Peter King, T.",New York,Republican,0,28,28
Steve King,Iowa,Republican,0,18,18
Jack Kingston,Georgia,Republican,0,22,22
Adam Kinzinger,Illinois,Republican,0,10,10
"Mark Kirk, Steven",Illinois,Republican,7,9,16
Paul Kirk,Massachusetts,Democratic,1,0,1
Ann Kirkpatrick,Arizona,Democratic,0,4,4
Larry Kissell,North Carolina,Democratic,0,4,4
"Gerald Kleczka, D.",Wisconsin,Democratic,0,22,22
"Herbert Klein, C.",New Jersey,Democratic,0,2,2
Ron Klein,Florida,Democratic,0,4,4
John Kline,Minnesota,Republican,0,14,14
Ron Klink,Pennsylvania,Democratic,0,8,8
Amy Klobuchar,Minnesota,Democratic,14,0,14
"John Kluczynski, C.",Illinois,Democratic,0,26,26
"Scott Klug, L.",Wisconsin,Republican,0,8,8
Stephen Knight,California,Republican,0,4,4
Joe Knollenberg,Michigan,Republican,0,16,16
"Edward Koch, I.",New York,Democratic,0,10,10
Ray Kogovsek,Colorado,Democratic,0,6,6
Herb Kohl,Wisconsin,Democratic,24,0,24
Jim Kolbe,Arizona,Republican,0,22,22
"Joseph Kolter, P.",Pennsylvania,Democratic,0,10,10
"Ernest Konnyu, L.",California,Republican,0,2,2
Mike Kopetski,Oregon,Democratic,0,4,4
"Suzanne Kosmas, M.",Florida,Democratic,0,2,2
"Peter Kostmayer, H.",Pennsylvania,Democratic,0,14,14
Ken Kramer,Colorado,Republican,0,8,8
"Frank, Kratovil, Jr.",Maryland,Democratic,0,2,2
"John Krebs, H.",California,Democratic,0,4,4
Mike Kreidler,Washington,Democratic,0,2,2
Raja Krishnamoorthi,Illinois,Democratic,0,4,4
"Robert Krueger, C.",Texas,Democratic,2,4,6
"Dennis Kucinich, J.",Ohio,Democratic,0,16,16
John Kuhl,New York,Republican,0,4,4
"Ann Kuster, M.",New Hampshire,Democratic,0,8,8
David Kustoff,Tennessee,Republican,0,4,4
"Dan Kuykendall, H.",Tennessee,Republican,0,8,8
"Steven Kuykendall, T.",California,Republican,0,2,2
Jon Kyl,Arizona,Republican,19,8,27
"Peter Kyros, N.",Maine,Democratic,0,8,8
"Raul Labrador, R.",Idaho,Republican,0,8,8
"John LaFalce, J.",New York,Democratic,0,28,28
"Robert Lagomarsino, J.",California,Republican,0,20,20
Darin LaHood,Illinois,Republican,0,6,6
Ray LaHood,Illinois,Republican,0,14,14
Doug LaMalfa,California,Republican,0,8,8
Conor Lamb,Pennsylvania,Democratic,0,3,3
Doug Lamborn,Colorado,Republican,0,14,14
Nick Lampson,Texas,Democratic,0,10,10
"H. Lancaster, Martin",North Carolina,Democratic,0,8,8
Leonard Lance,New Jersey,Republican,0,10,10
"Earl Landgrebe, F.",Indiana,Republican,0,6,6
"Mary Landrieu, L.",Louisiana,Democratic,18,0,18
"Phil Landrum, M.",Georgia,Democratic,0,24,24
"Jeffrey Landry, M.",Louisiana,Republican,0,2,2
"James Langevin, R.",Rhode Island,Democratic,0,20,20
James Lankford,Oklahoma,Republican,6,4,10
Tom Lantos,California,Democratic,0,27,27
Steve Largent,Oklahoma,Republican,0,9,9
Larry LaRocco,Idaho,Democratic,0,4,4
Rick Larsen,Washington,Democratic,0,20,20
"John Larson, B.",Connecticut,Democratic,0,22,22
Tom Latham,Iowa,Republican,0,20,20
"Steven LaTourette, C.",Ohio,Republican,0,18,18
"Delbert Latta, L.",Ohio,Republican,0,30,30
"Robert Latta, E.",Ohio,Republican,0,14,14
Jake LaTurner,Kansas,Republican,0,0,0
Greg Laughlin,Texas,Republican,0,8,8
"Frank Lautenberg, R.",New Jersey,Democratic,28,0,28
"Brenda Lawrence, L.",Michigan,Democratic,0,6,6
"Al, Lawson, Jr.",Florida,Democratic,0,4,4
"Paul Laxalt, D.",Nevada,Republican,14,0,14
Rick Lazio,New York,Republican,0,8,8
Claude Leach,Louisiana,Democratic,0,2,2
"James Leach, A.",Iowa,Republican,0,30,30
"Patrick Leahy, J.",Vermont,Democratic,46,0,46
Marvin Leath,Texas,Democratic,0,12,12
John LeBoutillier,New York,Republican,0,2,2
"Raymond Lederer, F.",Pennsylvania,Democratic,0,6,6
Barbara Lee,California,Democratic,0,24,24
"Christopher Lee, J.",New York,Republican,0,2,2
"Gary Lee, A.",New York,Republican,0,4,4
Mike Lee,Utah,Republican,10,0,10
Susie Lee,Nevada,Democratic,0,2,2
"Joseph LeFante, A.",New Jersey,Democratic,0,2,2
"Fernandez, Leger, Teresa",New Mexico,Democratic,0,0,0
"Robert Leggett, L.",California,Democratic,0,16,16
"Richard Lehman, H.",California,Democratic,0,12,12
William Lehman,Florida,Democratic,0,20,20
Mickey Leland,Texas,Democratic,0,12,12
"George LeMieux, S.",Florida,Republican,2,0,2
"Norman Lent, F.",New York,Republican,0,22,22
Debbie Lesko,Arizona,Republican,0,3,3
Julia Letlow,Louisiana,Republican,0,0,0
Andy Levin,Michigan,Democratic,0,2,2
Carl Levin,Michigan,Democratic,36,0,36
Mike Levin,California,Democratic,0,2,2
"Sander Levin, M.",Michigan,Democratic,0,36,36
Mel Levine,California,Democratic,0,10,10
"Elliott Levitas, H.",Georgia,Democratic,0,10,10
"David Levy, A.",New York,Republican,0,2,2
Jason Lewis,Minnesota,Republican,0,2,2
Jerry Lewis,California,Republican,0,34,34
John Lewis,Georgia,Democratic,0,33,33
Ron Lewis,Kentucky,Republican,0,16,16
"Thomas Lewis, F.",Florida,Republican,0,12,12
"Joseph Lieberman, I.",Connecticut,Independent Democrat,24,0,24
Ted Lieu,California,Democratic,0,6,6
Jim Lightfoot,Iowa,Republican,0,12,12
"Blanche Lincoln, L.",Arkansas,Democratic,12,4,16
John Linder,Georgia,Republican,0,18,18
Daniel Lipinski,Illinois,Democratic,0,16,16
"William Lipinski, O.",Illinois,Democratic,0,22,22
Jerry Litton,Missouri,Democratic,0,4,4
Bob Livingston,Louisiana,Republican,0,24,24
"James Lloyd, F.",California,Democratic,0,6,6
Marilyn Lloyd,Tennessee,Democratic,0,20,20
"Frank LoBiondo, A.",New Jersey,Republican,0,24,24
David Loebsack,Iowa,Democratic,0,14,14
Kelly Loeffler,Georgia,Republican,1,0,1
Tom Loeffler,Texas,Republican,0,8,8
Zoe Lofgren,California,Democratic,0,26,26
Billy Long,Missouri,Republican,0,10,10
Cathy Long,Louisiana,Democratic,0,2,2
"Clarence Long, D.",Maryland,Democratic,0,22,22
"Gillis Long, W.",Louisiana,Democratic,0,16,16
"Jill Long, L.",Indiana,Democratic,0,6,6
"Russell Long, B.",Louisiana,Democratic,40,0,40
James Longley,Maine,Republican,0,2,2
Trent Lott,Mississippi,Republican,18,16,34
Barry Loudermilk,Georgia,Republican,0,6,6
"Mia Love, B.",Utah,Republican,0,4,4
"Alan Lowenthal, S.",California,Democratic,0,8,8
Bill Lowery,California,Republican,0,12,12
"Nita Lowey, M.",New York,Democratic,0,32,32
Mike Lowry,Washington,Democratic,0,10,10
"Frank Lucas, D.",Oklahoma,Republican,0,28,28
Ken Lucas,Kentucky,Democratic,0,6,6
Blaine Luetkemeyer,Missouri,Republican,0,12,12
"Richard Lugar, G.",Indiana,Republican,36,0,36
"Grisham, Lujan, Michelle",New Mexico,Democratic,0,6,6
"Ben Lujan, Ray",New Mexico,Democratic,0,12,12
"Manuel, Lujan, Jr.",New Mexico,Republican,0,20,20
Charles Luken,Ohio,Democratic,0,2,2
"Thomas Luken, A.",Ohio,Democratic,0,16,16
"Donald Lukens, E.",Ohio,Republican,0,8,8
"Cynthia Lummis, M.",Wyoming,Republican,0,8,8
"Stanley Lundine, N.",New York,Democratic,0,12,12
"Daniel Lungren, E.",California,Republican,0,18,18
"Elaine Luria, G.",Virginia,Democratic,0,2,2
Bill Luther,Minnesota,Democratic,0,8,8
"Stephen Lynch, F.",Massachusetts,Democratic,0,20,20
Thomas MacArthur,New Jersey,Republican,0,4,4
"Torbert Macdonald, H.",Massachusetts,Democratic,0,22,22
Nancy Mace,South Carolina,Republican,0,0,0
"Ronald Machtley, K.",Rhode Island,Republican,0,6,6
Connie Mack,Florida,Republican,0,8,8
"Connie, Mack, III",Florida,Republican,12,6,18
Buddy MacKay,Florida,Democratic,0,6,6
"Ray Madden, J.",Indiana,Democratic,0,8,8
"Edward Madigan, R.",Illinois,Republican,0,20,20
"Daniel Maffei, B.",New York,Democratic,0,4,4
"Warren Magnuson, G.",Washington,Democratic,36,6,42
Andrew Maguire,New Jersey,Democratic,0,6,6
"George Mahon, H.",Texas,Democratic,0,44,44
Tim Mahoney,Florida,Democratic,0,2,2
"William Mailliard, S.",California,Republican,0,22,22
"Denise Majette, L.",Georgia,Democratic,0,2,2
Tom Malinowski,New Jersey,Democratic,0,2,2
"Richard Mallary, W.",Vermont,Republican,0,4,4
Nicole Malliotakis,New York,Republican,0,0,0
"Carolyn Maloney, B.",New York,Democratic,0,28,28
"James Maloney, H.",Connecticut,Democratic,0,6,6
"Sean Maloney, Patrick",New York,Democratic,0,8,8
"Joe, Manchin, III",West Virginia,Democratic,11,0,11
David Mann,Ohio,Democratic,0,2,2
"James Mann, R.",South Carolina,Democratic,0,10,10
Tracey Mann,Kansas,Republican,0,0,0
"Kathy Manning, E.",North Carolina,Democratic,0,0,0
Mike Mansfield,Montana,Democratic,24,10,34
"Thomas Manton, J.",New York,Democratic,0,14,14
"Donald Manzullo, A.",Illinois,Republican,0,20,20
"Joseph Maraziti, J.",New Jersey,Republican,0,2,2
Kenny Marchant,Texas,Republican,0,16,16
Marjorie Margolies-Mezvinsky,Pennsylvania,Democratic,0,2,2
Tom Marino,Pennsylvania,Republican,0,8,8
Betsy Markey,Colorado,Democratic,0,2,2
"Edward Markey, J.",Massachusetts,Democratic,8,36,44
"Marc Marks, L.",Pennsylvania,Republican,0,6,6
Ron Marlenee,Montana,Republican,0,16,16
"David Marriott, Daniel",Utah,Republican,0,8,8
Jim Marshall,Georgia,Democratic,0,8,8
"Roger Marshall, W.",Kansas,Republican,0,4,4
"David Martin, O'B.",New York,Republican,0,12,12
"David Martin, T.",Nebraska,Republican,0,14,14
"James Martin, G.",North Carolina,Republican,0,12,12
"Lynn Martin, M.",Illinois,Republican,0,10,10
"Matthew Martinez, G.",California,Republican,0,20,20
Mel Martinez,Florida,Republican,4,0,4
"William Martini, J.",New Jersey,Republican,0,2,2
Frank Mascara,Pennsylvania,Democratic,0,8,8
Eric Massa,New York,Democratic,0,1,1
Thomas Massie,Kentucky,Republican,0,9,9
"Brian Mast, J.",Florida,Republican,0,4,4
Jim Matheson,Utah,Democratic,0,14,14
Harlan Mathews,Tennessee,Democratic,2,0,2
Charles Mathias,Maryland,Republican,14,8,22
Robert Mathias,California,Republican,0,8,8
Dawson Mathis,Georgia,Democratic,0,10,10
"Doris Matsui, O.",California,Democratic,0,16,16
"Robert Matsui, T.",California,Democratic,0,25,25
"Spark Matsunaga, M.",Hawaii,Democratic,14,14,28
Mack Mattingly,Georgia,Republican,6,0,6
"James Mattox, A.",Texas,Democratic,0,6,6
Nicholas Mavroules,Massachusetts,Democratic,0,14,14
Wiley Mayne,Iowa,Republican,0,8,8
"Romano Mazzoli, L.",Kentucky,Democratic,0,24,24
Ben McAdams,Utah,Democratic,0,2,2
"Vance McAllister, M.",Louisiana,Republican,0,2,2
Lucy McBath,Georgia,Democratic,0,2,2
John McCain,Arizona,Republican,31,4,35
Alfred McCandless,California,Republican,0,12,12
Carolyn McCarthy,New York,Democratic,0,18,18
Karen McCarthy,Missouri,Democratic,0,10,10
Kevin McCarthy,California,Republican,0,14,14
Claire McCaskill,Missouri,Democratic,12,0,12
"Michael McCaul, T.",Texas,Republican,0,16,16
"Lisa McClain, C.",Michigan,Republican,0,0,0
"John McClellan, L.",Arkansas,Democratic,6,4,10
Tom McClintock,California,Republican,0,12,12
Robert McClory,Illinois,Republican,0,20,20
Frank McCloskey,Indiana,Democratic,0,12,12
Paul McCloskey,California,Republican,0,16,16
"James McClure, A.",Idaho,Republican,18,6,24
"John McCollister, Y.",Nebraska,Republican,0,6,6
Betty McCollum,Minnesota,Democratic,0,20,20
Bill McCollum,Florida,Republican,0,20,20
Mitch McConnell,Kentucky,Republican,36,0,36
Mike McCormack,Washington,Democratic,0,10,10
"Thaddeus McCotter, G.",Michigan,Republican,0,9,9
Jim McCrery,Louisiana,Republican,0,24,24
Dave McCurdy,Oklahoma,Democratic,0,14,14
"Joseph McDade, M.",Pennsylvania,Republican,0,36,36
Jim McDermott,Washington,Democratic,0,28,28
"Lawrence McDonald, P.",Georgia,Democratic,0,10,10
"A. McEachin, Donald",Virginia,Democratic,0,4,4
Bob McEwen,Ohio,Republican,0,12,12
"Robert McEwen, C.",New York,Republican,0,16,16
"John McFall, J.",California,Democratic,0,22,22
"Gale McGee, W.",Wyoming,Democratic,18,0,18
George McGovern,South Dakota,Democratic,18,4,22
"James McGovern, P.",Massachusetts,Democratic,0,24,24
"Raymond McGrath, J.",New York,Republican,0,12,12
Paul McHale,Pennsylvania,Democratic,0,6,6
"Patrick McHenry, T.",North Carolina,Republican,0,16,16
"John McHugh, M.",New York,Republican,0,16,16
"Matthew McHugh, F.",New York,Democratic,0,18,18
Scott McInnis,Colorado,Republican,0,12,12
"David McIntosh, M.",Indiana,Republican,0,6,6
Mike McIntyre,North Carolina,Democratic,0,18,18
"Thomas McIntyre, J.",New Hampshire,Democratic,18,0,18
"K. McKay, Gunn",Utah,Democratic,0,10,10
Howard McKeon,California,Republican,0,22,22
John McKernan,Maine,Republican,0,4,4
"David McKinley, B.",West Virginia,Republican,0,10,10
"Cynthia McKinney, A.",Georgia,Democratic,0,12,12
"Stewart McKinney, B.",Connecticut,Republican,0,18,18
"Michael McMahon, E.",New York,Democratic,0,2,2
"J. McMillan, Alex",North Carolina,Republican,0,10,10
Thomas McMillen,Maryland,Democratic,0,6,6
"Rodgers, McMorris, Cathy",Washington,Republican,0,16,16
Jerry McNerney,California,Democratic,0,14,14
James McNulty,Arizona,Democratic,0,2,2
"Michael McNulty, R.",New York,Democratic,0,20,20
Martha McSally,Arizona,Republican,1,4,5
"Clem McSpadden, Rogers",Oklahoma,Democratic,0,2,2
Mark Meadows,North Carolina,Republican,0,7,7
Lloyd Meeds,Washington,Democratic,0,14,14
"Martin Meehan, T.",Massachusetts,Democratic,0,14,14
Patrick Meehan,Pennsylvania,Republican,0,7,7
"Carrie Meek, P.",Florida,Democratic,0,10,10
"Kendrick Meek, B.",Florida,Democratic,0,8,8
"Gregory Meeks, W.",New York,Democratic,0,24,24
Peter Meijer,Michigan,Republican,0,0,0
Charlie Melancon,Louisiana,Democratic,0,6,6
John Melcher,Montana,Democratic,12,8,20
Robert Menendez,New Jersey,Democratic,15,13,28
Grace Meng,New York,Democratic,0,8,8
Jeff Merkley,Oregon,Democratic,12,0,12
Luke Messer,Indiana,Republican,0,6,6
Jack Metcalf,Washington,Republican,0,6,6
Lee Metcalf,Montana,Democratic,18,8,26
"Ralph Metcalfe, H.",Illinois,Democratic,0,8,8
"Howard Metzenbaum, M.",Ohio,Democratic,20,0,20
Daniel Meuser,Pennsylvania,Republican,0,2,2
Jan Meyers,Kansas,Republican,0,12,12
"Helen Meyner, S.",New Jersey,Democratic,0,4,4
Edward Mezvinsky,Iowa,Democratic,0,4,4
Kweisi Mfume,Maryland,Democratic,0,11,11
"Daniel Mica, Andrew",Florida,Democratic,0,10,10
"John Mica, L.",Florida,Republican,0,24,24
"Michael Michaud, H.",Maine,Democratic,0,12,12
"Robert Michel, H.",Illinois,Republican,0,38,38
"Barbara Mikulski, A.",Maryland,Democratic,30,10,40
"Abner Mikva, J.",Illinois,Democratic,0,10,10
Dale Milford,Texas,Democratic,0,6,6
Juanita Millender-McDonald,California,Democratic,0,12,12
Brad Miller,North Carolina,Democratic,0,10,10
"Candice Miller, S.",Michigan,Republican,0,14,14
"Carol Miller, D.",West Virginia,Republican,0,2,2
"Clarence Miller, E.",Ohio,Republican,0,26,26
Dan Miller,Florida,Republican,0,10,10
"Gary Miller, G.",California,Republican,0,16,16
George Miller,California,Democratic,0,40,40
Jeff Miller,Florida,Republican,0,16,16
"John Miller, R.",Washington,Republican,0,8,8
"Mary Miller, E.",Illinois,Republican,0,0,0
Zell Miller,Georgia,Democratic,5,0,5
Mariannette Miller-Meeks,Iowa,Republican,0,0,0
"Wilbur Mills, D.",Arkansas,Democratic,0,38,38
"William Mills, O.",Maryland,Republican,0,4,4
"Norman Mineta, Y.",California,Democratic,0,22,22
David Minge,Minnesota,Democratic,0,8,8
"Joseph Minish, G.",New Jersey,Democratic,0,22,22
"Patsy Mink, T.",Hawaii,Democratic,0,25,25
Walter Minnick,Idaho,Democratic,0,2,2
"William Minshall, E.",Ohio,Republican,0,20,20
"Donald Mitchell, J.",New York,Republican,0,10,10
"George Mitchell, J.",Maine,Democratic,16,0,16
"Harry Mitchell, E.",Arizona,Democratic,0,4,4
"Parren Mitchell, J.",Maryland,Democratic,0,16,16
Paul Mitchell,Michigan,Independent,0,4,4
Wilmer Mizell,North Carolina,Republican,0,6,6
"John Moakley, Joseph",Massachusetts,Democratic,0,28,28
Toby Moffett,Connecticut,Democratic,0,8,8
Guy Molinari,New York,Republican,0,10,10
Susan Molinari,New York,Republican,0,10,10
"Alan Mollohan, B.",West Virginia,Democratic,0,28,28
"Robert Mollohan, H.",West Virginia,Democratic,0,18,18
"Walter Mondale, F.",Minnesota,Democratic,14,0,14
"David Monson, S.",Utah,Republican,0,2,2
G. Montgomery,Mississippi,Democratic,0,30,30
"Joseph Montoya, M.",New Mexico,Democratic,14,6,20
Jim Moody,Wisconsin,Democratic,0,10,10
"John Moolenaar, R.",Michigan,Republican,0,6,6
"Alexander Mooney, X.",West Virginia,Republican,0,6,6
Barry Moore,Alabama,Republican,0,0,0
"Blake Moore, D.",Utah,Republican,0,0,0
Dennis Moore,Kansas,Democratic,0,12,12
Gwen Moore,Wisconsin,Democratic,0,16,16
"W. Moore, Henson",Louisiana,Republican,0,12,12
"Carlos Moorhead, J.",California,Republican,0,24,24
"William Moorhead, S.",Pennsylvania,Democratic,0,22,22
"James Moran, P.",Virginia,Democratic,0,24,24
Jerry Moran,Kansas,Republican,10,14,24
"Constance Morella, A.",Maryland,Republican,0,16,16
"Joseph Morelle, D.",New York,Democratic,0,3,3
"Robert Morgan, B.",North Carolina,Democratic,6,0,6
"Thomas Morgan, E.",Pennsylvania,Democratic,0,28,28
"Bruce Morrison, A.",Connecticut,Democratic,0,8,8
Sid Morrison,Washington,Republican,0,12,12
Carol Moseley-Braun,Illinois,Democratic,6,0,6
"Charles Mosher, A.",Ohio,Republican,0,16,16
"Frank Moss, E.",Utah,Democratic,18,0,18
"John Moss, E.",California,Democratic,0,26,26
"Ronald Mottl, M.",Ohio,Democratic,0,8,8
Seth Moulton,Massachusetts,Democratic,0,6,6
"Daniel Moynihan, Patrick",New York,Democratic,24,0,24
"Robert Mrazek, J.",New York,Democratic,0,10,10
"Frank Mrvan, J.",Indiana,Democratic,0,0,0
Debbie Mucarsel-Powell,Florida,Democratic,0,2,2
Markwayne Mullin,Oklahoma,Republican,0,8,8
Mick Mulvaney,South Carolina,Republican,0,6,6
"Frank Murkowski, H.",Alaska,Republican,21,0,21
Lisa Murkowski,Alaska,Republican,18,0,18
"Austin Murphy, J.",Pennsylvania,Democratic,0,18,18
Christopher Murphy,Connecticut,Democratic,8,6,14
Gregory Murphy,North Carolina,Republican,0,2,2
"John Murphy, M.",New York,Democratic,0,18,18
"Morgan Murphy, F.",Illinois,Democratic,0,10,10
Patrick Murphy,Florida,Democratic,0,4,4
"Patrick Murphy, J.",Pennsylvania,Democratic,0,4,4
Scott Murphy,New York,Democratic,0,2,2
