people,state,party,total_senate_years,total_house_years,total_years
"Paul Broun, C.",Georgia,Republican,0,8,8
Glen Browder,Alabama,Democratic,0,8,8
"Anthony Brown, G.",Maryland,Democratic,0,4,4
"Clarence, Brown, Jr.",Ohio,Republican,0,18,18
Corrine Brown,Florida,Democratic,0,24,24
"Garry Brown, E.",Michigan,Republican,0,12,12
George Brown,California,Democratic,0,36,36
Hank Brown,Colorado,Republican,6,10,16
Henry Brown,South Carolina,Republican,0,10,10
"Scott Brown, P.",Massachusetts,Republican,3,0,3
Sherrod Brown,Ohio,Democratic,14,14,28
Ginny Brown-Waite,Florida,Republican,0,8,8
Sam Brownback,Kansas,Republican,15,1,16
Julia Brownley,California,Democratic,0,8,8
"James Broyhill, T.",North Carolina,Republican,1,23,24
"Joel Broyhill, T.",Virginia,Republican,0,22,22
"Terry Bruce, L.",Illinois,Democratic,0,8,8
"Richard Bryan, H.",Nevada,Democratic,12,0,12
Ed Bryant,Tennessee,Republican,0,8,8
"John Bryant, W.",Texas,Democratic,0,14,14
John Buchanan,Alabama,Republican,0,16,16
Vern Buchanan,Florida,Republican,0,14,14
Ken Buck,Colorado,Republican,0,6,6
"James Buckley, L.",New York,Republican,6,0,6
Larry Bucshon,Indiana,Republican,0,10,10
Ted Budd,North Carolina,Republican,0,4,4
Jack Buechner,Missouri,Republican,0,4,4
"Ann Buerkle, Marie",New York,Republican,0,2,2
Dale Bumpers,Arkansas,Democratic,24,0,24
Jim Bunn,Oregon,Republican,0,2,2
Jim Bunning,Kentucky,Republican,12,12,24
Tim Burchett,Tennessee,Republican,0,2,2
Jocelyn Burdick,North Dakota,Democratic,2,0,2
"Quentin Burdick, N.",North Dakota,Democratic,34,0,34
"Clair Burgener, W.",California,Republican,0,10,10
"Michael Burgess, C.",Texas,Republican,0,18,18
"J. Burke, Herbert",Florida,Republican,0,12,12
"James Burke, A.",Massachusetts,Democratic,0,20,20
"Yvonne Burke, B.",California,Democratic,0,6,6
Omar Burleson,Texas,Democratic,0,32,32
"Bill Burlison, D.",Missouri,Democratic,0,12,12
"Conrad Burns, R.",Montana,Republican,18,0,18
Max Burns,Georgia,Republican,0,2,2
Richard Burr,North Carolina,Republican,16,10,26
Roland Burris,Illinois,Democratic,1,0,1
Dan Burton,Indiana,Republican,0,30,30
John Burton,California,Democratic,0,10,10
Phillip Burton,California,Democratic,0,22,22
Sala Burton,California,Democratic,0,6,6
Cori Bush,Missouri,Democratic,0,0,0
"Albert Bustamante, G.",Texas,Democratic,0,8,8
Cheri Bustos,Illinois,Democratic,0,8,8
"M. Butler, Caldwell",Virginia,Republican,0,12,12
"G. Butterfield, K.",North Carolina,Democratic,0,17,17
Steve Buyer,Indiana,Republican,0,18,18
Harry Byrd,Virginia,Independent,18,0,18
"Robert Byrd, C.",West Virginia,Democratic,51,6,57
Bradley Byrne,Alabama,Republican,0,7,7
"Leslie Byrne, L.",Virginia,Democratic,0,2,2
"Beverly Byron, B.",Maryland,Democratic,0,14,14
"Goodloe Byron, E.",Maryland,Democratic,0,8,8
Sonny Callahan,Alabama,Republican,0,18,18
Ken Calvert,California,Republican,0,28,28
Kat Cammack,Florida,Republican,0,0,0
Dave Camp,Michigan,Republican,0,24,24
John Camp,Oklahoma,Republican,0,6,6
"Ben Campbell, Nighthorse",Colorado,Republican,12,6,18
Carroll Campbell,South Carolina,Republican,0,8,8
John Campbell,California,Republican,0,10,10
Tom Campbell,California,Republican,0,10,10
"Charles Canady, T.",Florida,Republican,0,8,8
Chris Cannon,Utah,Republican,0,12,12
"Howard Cannon, W.",Nevada,Democratic,24,0,24
"Francisco Canseco, ""Quico""",Texas,Republican,0,2,2
Eric Cantor,Virginia,Republican,0,13,13
Maria Cantwell,Washington,Democratic,20,2,22
"Anh Cao, ""Joseph""",Louisiana,Republican,0,2,2
"Shelley Capito, Moore",West Virginia,Republican,6,14,20
Lois Capps,California,Democratic,0,20,20
Walter Capps,California,Democratic,0,2,2
"Michael Capuano, E.",Massachusetts,Democratic,0,20,20
"Bruce Caputo, F.",New York,Republican,0,2,2
"Salud Carbajal, O.",California,Democratic,0,4,4
Tony Cardenas,California,Democratic,0,8,8
"Benjamin Cardin, L.",Maryland,Democratic,14,20,34
"Dennis Cardoza, A.",California,Democratic,0,9,9
"Hugh Carey, L.",New York,Democratic,0,14,14
"Jerry Carl, L.",Alabama,Republican,0,0,0
