people,state,party,senate_years,house_years
"Jim Bunn, ",Oregon,Republican,0,1995-1997
"Jim Bunning, ",Kentucky,Republican,1999-2011,1987-1999
"Tim Burchett, ",Tennessee,Republican,0,2019-Present
"Jocelyn Burdick, ",North Dakota,Democratic,1991-1993,0
"Quentin Burdick, N.",North Dakota,Democratic,1959-1993,0
"Clair Burgener, W.",California,Republican,0,1973-1983
"Michael Burgess, C.",Texas,Republican,0,2003-Present
"J. Burke, Herbert",Florida,Republican,0,1967-1979
"James Burke, A.",Massachusetts,Democratic,0,1959-1979
"Yvonne Burke, B.",California,Democratic,0,1973-1979
"Omar Burleson, ",Texas,Democratic,0,1947-1979
"Bill Burlison, D.",Missouri,Democratic,0,1969-1981
"Conrad Burns, R.",Montana,Republican,1989-2007,0
"Max Burns, ",Georgia,Republican,0,2003-2005
"Richard Burr, ",North Carolina,Republican,2005-Present,1995-2005
"Roland Burris, ",Illinois,Democratic,2009-2010,0
"Dan Burton, ",Indiana,Republican,0,1983-2013
"John Burton, ",California,Democratic,0,1973-1983
"Phillip Burton, ",California,Democratic,0,1963-1985
"Sala Burton, ",California,Democratic,0,1983-1989
"Cori Bush, ",Missouri,Democratic,0,2021-Present
"Albert Bustamante, G.",Texas,Democratic,0,1985-1993
"Cheri Bustos, ",Illinois,Democratic,0,2013-Present
"M. Butler, Caldwell",Virginia,Republican,0,1971-1983
"G. Butterfield, K.",North Carolina,Democratic,0,2004-Present
"Steve Buyer, ",Indiana,Republican,0,1993-2011
"Harry Byrd, ",Virginia,Independent,1965-1983,0
"Robert Byrd, C.",West Virginia,Democratic,1959-2010,1953-1959
"Bradley Byrne, ",Alabama,Republican,0,2014-2021
"Leslie Byrne, L.",Virginia,Democratic,0,1993-1995
"Beverly Byron, B.",Maryland,Democratic,0,1979-1993
"Goodloe Byron, E.",Maryland,Democratic,0,1971-1979
"Sonny Callahan, ",Alabama,Republican,0,1985-2003
"Ken Calvert, ",California,Republican,0,1993-Present
"Kat Cammack, ",Florida,Republican,0,2021-Present
"Dave Camp, ",Michigan,Republican,0,1991-2015
"John Camp, ",Oklahoma,Republican,0,1969-1975
"Ben Campbell, Nighthorse",Colorado,Republican,1993-2005,1987-1993
"Carroll Campbell, ",South Carolina,Republican,0,1979-1987
"John Campbell, ",California,Republican,0,2005-2015
"Tom Campbell, ",California,Republican,0,"1989-1993,"
"Charles Canady, T.",Florida,Republican,0,1993-2001
"Chris Cannon, ",Utah,Republican,0,1997-2009
"Howard Cannon, W.",Nevada,Democratic,1959-1983,0
"Francisco Canseco, ""Quico""",Texas,Republican,0,2011-2013
"Eric Cantor, ",Virginia,Republican,0,2001-2014
"Maria Cantwell, ",Washington,Democratic,2001-Present,1993-1995
"Anh Cao, ""Joseph""",Louisiana,Republican,0,2009-2011
"Shelley Capito, Moore",West Virginia,Republican,2015-Present,2001-2015
"Lois Capps, ",California,Democratic,0,1997-2017
"Walter Capps, ",California,Democratic,0,1997-1999
"Michael Capuano, E.",Massachusetts,Democratic,0,1999-2019
"Bruce Caputo, F.",New York,Republican,0,1977-1979
"Salud Carbajal, O.",California,Democratic,0,2017-Present
"Tony Cardenas, ",California,Democratic,0,2013-Present
"Benjamin Cardin, L.",Maryland,Democratic,2007-Present,1987-2007
"Dennis Cardoza, A.",California,Democratic,0,2003-2012
"Hugh Carey, L.",New York,Democratic,0,1961-1975
"Jerry Carl, L.",Alabama,Republican,0,2021-Present
"Gregory Carman, W.",New York,Republican,0,1981-1983
"Jean Carnahan, ",Missouri,Democratic,2001-2002,0
"Russ Carnahan, ",Missouri,Democratic,0,2005-2013
"Charles Carney, J.",Ohio,Democratic,0,1969-1979
"Christopher Carney, P.",Pennsylvania,Democratic,0,2007-2011
"John Carney, ",Delaware,Democratic,0,2011-2017
"William Carney, ",New York,Republican,0,1979-1987
"Thomas Carper, R.",Delaware,Democratic,2001-Present,1983-1993
"Bob Carr, ",Michigan,Democratic,0,"1975-1981,"
"Andre Carson, ",Indiana,Democratic,0,2008-Present
"Brad Carson, ",Oklahoma,Democratic,0,2001-2005
"Julia Carson, ",Indiana,Democratic,0,1997-2007
"Earl Carter, ",Georgia,Republican,0,2015-Present
"John Carter, R.",Texas,Republican,0,2003-Present
"Tim Carter, Lee",Kentucky,Republican,0,1965-1981
"Troy Carter, ",Louisiana,Democratic,0,2021-Present
"Matt Cartwright, ",Pennsylvania,Democratic,0,2013-Present
"Clifford Case, P.",New Jersey,Republican,1955-1979,1945-1955
"Ed Case, ",Hawaii,Democratic,0,"2002-2007,"
"Bob Casey, ",Texas,Democratic,0,1959-1977
"Robert Casey, ",Pennsylvania,Democratic,2007-Present,0
"Bill Cassidy, ",Louisiana,Republican,2015-Present,2009-2015
"Sean Casten, ",Illinois,Democratic,0,2019-Present
"Michael Castle, N.",Delaware,Republican,0,1993-2011
"Kathy Castor, ",Florida,Democratic,0,2007-Present
"Joaquin Castro, ",Texas,Democratic,0,2013-Present
"John Cavanaugh, J.",Nebraska,Democratic,0,1977-1981
"Madison Cawthorn, ",North Carolina,Republican,0,2021-Present
"Donald Cazayoux, ",Louisiana,Democratic,0,2008-2009
"Elford Cederberg, A.",Michigan,Republican,0,1953-1979
"Steve Chabot, ",Ohio,Republican,0,"1995-2009,"
"John Chafee, H.",Rhode Island,Republican,1977-1999,0
"Lincoln Chafee, ",Rhode Island,Republican,1999-2007,0
"Jason Chaffetz, ",Utah,Republican,0,2009-2017
"Charles Chamberlain, E.",Michigan,Republican,0,1957-1975
"Saxby Chambliss, ",Georgia,Republican,2003-2015,1995-2003
"Ben Chandler, ",Kentucky,Democratic,0,2004-2013
"Rod Chandler, D.",Washington,Republican,0,1983-1993
"Jim Chapman, ",Texas,Democratic,0,1985-1997
"Bill, Chappell, Jr.",Florida,Democratic,0,1969-1989
"Eugene Chappie, A.",California,Republican,0,1981-1987
"Dick Cheney, ",Wyoming,Republican,0,1979-1991
"Liz Cheney, ",Wyoming,Republican,0,2017-Present
"Helen Chenoweth-Hage, ",Idaho,Republican,0,1995-2001
"Jeff Chiesa, ",New Jersey,Republican,2013,0
"Travis Childers, ",Mississippi,Democratic,0,2008-2011
"Lawton Chiles, ",Florida,Democratic,1971-1989,0
"Shirley Chisholm, ",New York,Democratic,0,1969-1983
"Chris Chocola, ",Indiana,Republican,0,2003-2007
"Donna Christensen, M.",Virgin Islands,Democratic,0,1997-2015
